ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median
1,2690.0,4483.0,3871.240739770524,350.3097795169719,3952.0,1.0,8601.0,77.98292031225441,564.1878228308445,3.0
2,3433.0,6141.0,4576.2693557119655,479.64682472934925,4593.0,1.0,36739.0,113.26197888467786,1023.3291327823443,4.0
3,3409.0,6447.0,4636.337641713353,468.4898010726,4651.0,1.0,36822.0,155.0801976267149,1498.6497563049568,4.0
4,3395.0,6209.0,4970.112385401053,500.69430873502716,5033.0,1.0,36840.0,171.2370760274689,1710.6210519172012,4.0
5,3885.0,7026.0,4984.1361513496395,702.8774406495252,4817.0,1.0,10835.0,121.56091189741154,762.5280894903466,4.0
6,3891.0,6930.0,5052.530844200412,489.25408948676215,5060.0,1.0,47477.0,187.07714481811942,1888.7580676787686,4.0
7,3530.0,7055.0,4969.667155565476,487.7650200060242,5013.0,1.0,30256.0,138.2656633612856,1423.5799956564392,4.0
8,3617.0,6715.0,4940.121152076994,532.9587443528798,4871.0,1.0,13786.0,149.50902271601444,1080.5101558263073,4.0
9,3265.0,5640.0,4487.65889261745,591.18139080461,4505.0,1.0,49777.0,486.7221476510067,4573.992484834399,3.0
10,3063.0,6856.0,4580.861156030236,543.1267625583738,4614.0,1.0,74777.0,518.7526606746644,5539.27219637927,4.0
11,2893.0,6012.0,4444.1938250865405,553.286699675514,4465.0,1.0,116741.0,393.78812869069435,5150.175926774278,3.0
12,3013.0,5827.0,4668.018371300688,541.8553478377345,4812.0,1.0,116747.0,117.55641659429487,1327.4049361166678,3.0
13,3460.0,6503.0,4679.131321996709,413.60427500647046,4710.0,1.0,39977.0,139.90614371914427,1279.1986573474474,4.0
14,2139.0,5095.0,3539.4146640760814,693.369440968228,3532.0,1.0,126062.0,1144.4588403722262,11533.129245619044,4.0
15,3462.0,6221.0,4585.052579973036,417.4250449492697,4594.0,1.0,39909.0,165.02488050006127,1805.5980030558985,4.0
16,2712.0,5283.0,4146.704590126026,535.0429362243999,4224.5,1.0,74909.0,634.9798242571395,6344.23262298246,4.0
17,2149.0,4862.0,3506.0003814852494,652.7579214323894,3537.0,1.0,97612.0,958.2898016276704,9222.516026258554,4.0
