basin,basin_area_sqkm,discharge_tag,discharge_station_name,discharge_mean_flow,basin_longitude,basin_latitude
Aiechhu,1963.90588555,0,,0.0,90.46480753012602,26.945873636088635
Amochhu,3929.6193674,0,,0.0,89.12010992291209,27.350269280209094
Drangmechhu,21098.2668218,0,,0.0,91.39502903796195,27.84243536003244
Jaldhakha,1038.94293085,0,,0.0,88.9878498499434,27.061616068472585
Jomori,750.31939141,0,,0.0,91.95975766614272,27.12348423000868
Mangdechhu,22309.81593237,3,PANGBANG ON DANGME CHHU   [ P ] (17120045)Tingtibi on Mangdi Chhu (Down Stream)Kurjey on Chamkher Chhu (15490045),970.6757831236137,271.9470746903118,82.51844586723301
Merak_Sakteng,138.81067718,0,,0.0,92.03395801646504,27.329945760114217
Nyera_Amari,2262.23354957,0,,0.0,91.6528094602422,26.987295331157494
Punatsangchhu,9765.74738011,1,Wangdi Rapids on Pho+Mo Chhu (13490045),298.20070495185695,89.93946645681426,27.562874789250102
Wangchhu,4608.33697136,1,Lungtenphug on Thimphu Chhu  (12800045),21.87452868053299,89.48272340508404,27.35311477165916
