basin,longitude,latitude,area_sqkm,perimeter_km,geometry_count,SHAPE__Len,SHAPE__Are,path,area_ha
Aiechhu,90.46480753012602,26.945873636088635,1963.90588555,0.00289728576145579,1,337019.366034,2481073305.24,E:\2024-2025\Basin_boundaries\Aiechhu.shp,196390.588555
Merak_Sakteng,92.03395801646504,27.329945760114217,138.81067718,0.0006453272026123376,1,76767.7396158,176393910.87,E:\2024-2025\Basin_boundaries\Merak-Sakteng.shp,13881.0677182
Mangdechhu,90.6490248967706,27.506148622411004,7436.60531079,0.0044253749159932475,1,524792.855796,9488740043.09,E:\2024-2025\Basin_boundaries\Tb_basins.shp,743660.531079
Jaldhakha,88.9878498499434,27.061616068472585,1038.94293085,0.002133097539951104,1,252015.441762,1314961748.95,E:\2024-2025\Basin_boundaries\Tb_basins.shp,103894.293085
Amochhu,89.12010992291209,27.350269280209094,3929.6193674,0.004123367718471332,1,488429.626674,4999590723.67,E:\2024-2025\Basin_boundaries\Tb_basins.shp,392961.93674
Wangchhu,89.48272340508404,27.35311477165916,4608.33697136,0.004037777804863026,1,480652.507859,5864100798.66,E:\2024-2025\Basin_boundaries\Tb_basins.shp,460833.697136
Drangmechhu,91.39502903796195,27.84243536003244,21098.2668218,0.009023087694760713,1,1062588.67877,27074800437.0,E:\2024-2025\Basin_boundaries\Tb_basins.shp,2109826.68218
Punatsangchhu,89.93946645681426,27.562874789250102,9765.74738011,0.0059414501518778575,1,705378.079035,12474906550.6,E:\2024-2025\Basin_boundaries\Tb_basins.shp,976574.738011
Nyera_Amari,91.6528094602422,26.987295331157494,2262.23354957,0.0035698081504661455,1,414767.78527,2858317238.15,E:\2024-2025\Basin_boundaries\Nyera Amari.shp,226223.354957
Jomori,91.95975766614272,27.12348423000868,750.31939141,0.0015485984243302905,1,183326.551078,950046456.657,E:\2024-2025\Basin_boundaries\Jomori.shp,75031.9391408
