basin,Water_km2,Trees_km2,FloodedVegetation_km2,Crops_km2,BuiltArea_km2,BareGround_km2,SnowIce_km2,Rangeland_km2,total_km2
Aiechhu,2.731,1823.859,0.0,9.784,29.243,9.347,0.0,52.909,1927.873
Merak_Sakte,0.342,72.706,0.0,0.0,0.001,0.076,0.0,60.442,133.567
Mangdechhu,44.139,5135.477,0.025,13.669,18.519,349.743,414.462,1462.231,7438.265
Jaldhakha,1.647,828.163,0.0,4.859,11.507,4.526,0.0,55.142,905.844
Amochhu,7.993,1929.189,0.0,1.265,20.779,21.87,1.207,333.941,2316.244
Wangchhu,11.094,2917.059,0.0,8.896,135.771,154.039,26.339,1354.175,4607.373
Drangmechhu,37.982,6698.338,0.006,6.052,115.035,64.653,346.655,1224.898,8493.619
Punatsangchhu,58.939,6074.535,0.008,32.923,73.5,429.553,735.391,2289.215,9694.064
Nyera_Amari,2.978,2023.385,0.0,6.961,21.663,3.432,0.0,128.788,2187.207
Jomori,0.664,634.884,0.0,0.554,5.152,0.062,0.0,81.218,722.534
