basin,Acrisols_km2,Albeluvisols_km2,Alisols_km2,Andosols_km2,Arenosols_km2,Calcisols_km2,Cambisols_km2,Chernozems_km2,Cryosols_km2,Durisols_km2,Ferralsols_km2,Fluvisols_km2,Gleysols_km2,Gypsisols_km2,Histosols_km2,Kastanozems_km2,Leptosols_km2,Lixisols_km2,Luvisols_km2,Nitisols_km2,Phaeozems_km2,Planosols_km2,Plinthosols_km2,Podzols_km2,Regosols_km2,Solonchaks_km2,Solonetz_km2,Stagnosols_km2,Umbrisols_km2,Vertisols_km2,total_km2
Aiechhu,0.0,0.0,0.5,0.0,0.0,0.0,794.562,0.0,,0.0,0.0,0.438,0.0,0.0,0.0,0.0,63.562,0.0,1105.625,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.5,1966.187
Merak_Sakte,0.0,0.0,,0.0,0.0,0.0,0.438,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,139.188,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,139.626
Mangdechhu,0.0,0.0,0.125,0.0,0.0,0.0,1071.125,0.0,275.188,0.0,0.0,,0.0,0.0,0.0,0.0,499.0,0.0,4962.75,0.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.0,,6808.5
Jaldhakha,0.0,0.0,2.312,0.0,0.0,0.0,229.125,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,28.125,0.0,642.875,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.188,902.625
Amochhu,0.0,0.0,1.25,0.0,0.0,0.0,315.625,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,89.312,0.0,1952.75,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,2360.187
Wangchhu,0.0,0.0,0.688,0.0,0.0,0.0,259.75,0.0,17.125,0.0,0.0,0.062,0.0,0.0,0.0,0.0,462.188,0.0,3787.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.062,4526.875
Drangmechhu,0.0,0.0,,0.0,0.0,0.0,1879.5,0.0,300.5,0.0,0.0,,0.0,0.0,0.0,0.0,438.625,0.0,5815.062,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,,8433.875
Punatsangchhu,0.0,0.0,,0.0,0.0,0.0,1245.188,0.0,369.938,0.0,0.0,0.188,0.0,0.0,0.0,0.0,1405.5,0.0,5754.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.375,8775.251
Nyera_Amari,0.0,0.0,3.562,0.0,0.0,0.0,808.562,0.0,,0.0,0.0,0.062,0.0,0.0,0.0,0.0,100.875,0.0,1237.75,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2150.811
Jomori,0.0,0.0,1.188,0.0,0.0,0.0,126.125,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,608.562,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,735.875
