horizon,basin_id,n_rows,first_date,last_date,n_features_raw,n_features_final,y_nan_test_pct,X_nan_test_pct,allnan_cols_train,const_cols_train,doy_missing_test_pct,persist_nan_test_pct,status
0,3.0,8584,2000-01-01,2023-12-31,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
0,6.0,11964,1991-04-22,2024-12-31,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
0,8.0,8637,2000-01-01,2023-12-31,106,6,0.032407407407407406,0.0,0,100,0.0,0.032407407407407406,y_nan_test|const_cols_train|persist_nan_test
1,3.0,8583,2000-01-01,2023-12-30,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
1,6.0,11963,1991-04-22,2024-12-30,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
1,8.0,8594,2000-01-01,2023-12-30,106,6,0.0,0.0,0,100,0.0,0.0015503875968992248,const_cols_train|persist_nan_test
2,3.0,8582,2000-01-01,2023-12-29,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
2,6.0,11962,1991-04-22,2024-12-29,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
2,8.0,8593,2000-01-01,2023-12-29,106,6,0.0,0.0,0,100,0.0,0.0031031807602792862,const_cols_train|persist_nan_test
3,3.0,8581,2000-01-01,2023-12-28,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
3,6.0,11961,1991-04-22,2024-12-28,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
3,8.0,8592,2000-01-01,2023-12-28,106,6,0.0,0.0,0,100,0.0,0.004654771140418929,const_cols_train|persist_nan_test
5,3.0,8579,2000-01-01,2023-12-26,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
5,6.0,11959,1991-04-22,2024-12-26,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
5,8.0,8590,2000-01-01,2023-12-26,106,6,0.0,0.0,0,100,0.0,0.0062063615205585725,const_cols_train|persist_nan_test
7,3.0,8577,2000-01-01,2023-12-24,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
7,6.0,11957,1991-04-22,2024-12-24,106,6,0.0,0.0,0,100,0.0,0.0,const_cols_train
7,8.0,8588,2000-01-01,2023-12-24,106,6,0.0,0.0,0,100,0.0,0.007757951900698216,const_cols_train|persist_nan_test
