grid_id,latitude,longitude,basin_id,watershed_id,outside_flag
gf81d7fb303616195,26.5,88.5,,,True
g0be12287883e2881,26.5,88.75,,,True
gcaddc3e21bd4a5f1,26.5,89.0,,,True
g6aa345cebf65e0f4,26.5,89.25,,,True
g55221829641bde3e,26.5,89.5,,,True
gff7a8626e094c225,26.5,89.75,,,True
g9baa0c912d4d95d6,26.5,90.0,,,True
g7a6b98bd00145a6e,26.5,90.25,,,True
g109e963b9f5f87fe,26.5,90.5,,,True
g1c2ebb0c905af7cd,26.5,90.75,,,True
gecd4db01da9f3c2b,26.5,91.0,,,True
g6a6fbdfda5e16171,26.5,91.25,,,True
g2a7e5c5354497672,26.5,91.5,,,True
g159a42a408144d32,26.5,91.75,,,True
g5fce5a5905bf8364,26.5,92.0,,,True
gca283a25e50486f5,26.75,88.5,,,True
g36fcb974261d2ae1,26.75,88.75,,,True
gb30db556783a1f91,26.75,89.0,,,True
g4d0b0a01091b32d4,26.75,89.25,,,True
gd839f4d6f3e9b8de,26.75,89.5,,,True
g545ff3c51071ec45,26.75,89.75,6.0,178.0,False
g02c74a9b46309376,26.75,90.0,8.0,179.0,False
gc607be04c1bde0ce,26.75,90.25,,,True
gcb52571cefd1d51e,26.75,90.5,,,True
gd1b93ca481e4aaad,26.75,90.75,,,True
g09759e6e2afd9acb,26.75,91.0,,,True
g6339a2ffb24e3c11,26.75,91.25,,,True
gd7ab5aaca0b117d2,26.75,91.5,,,True
gbda1e53f5e039f12,26.75,91.75,,,True
gbfcb7b1651fcba44,26.75,92.0,,,True
g49e80d653533d748,27.0,88.5,,,True
g38c22ba018e00c4c,27.0,88.75,,,True
g42f2b14eea3c6c5c,27.0,89.0,4.0,160.0,False
gde4936d2c33c4969,27.0,89.25,5.0,148.0,False
gad3704d82a24c393,27.0,89.5,5.0,150.0,False
g5aab9168cfa228b8,27.0,89.75,6.0,159.0,False
g9be5a146ff8db20b,27.0,90.0,8.0,145.0,False
ge6220ffbcd2d27e3,27.0,90.25,1.0,182.0,False
gd56d947e9fa00853,27.0,90.5,1.0,140.0,False
g40dcb13b1367ca80,27.0,90.75,3.0,152.0,False
ga28bcb191f144bb6,27.0,91.0,7.0,142.0,False
g6a98c816445580dc,27.0,91.25,7.0,127.0,False
g4f2a3a5062cf0bdf,27.0,91.5,9.0,184.0,False
gbadc4bd096d3629f,27.0,91.75,9.0,147.0,False
g6f116f0ec14944f9,27.0,92.0,10.0,149.0,False
ga5b31507f2594acd,27.25,88.5,,,True
g6e97f9d9400e86c9,27.25,88.75,,,True
g4c3f58ceeeebfdb9,27.25,89.0,5.0,108.0,False
g767a9cef7490d8ac,27.25,89.25,6.0,102.0,False
g05cbc9980794f506,27.25,89.5,6.0,103.0,False
g265d9423c10c6a5d,27.25,89.75,8.0,123.0,False
g4f2c377dd886758e,27.25,90.0,8.0,100.0,False
g7ba04ac8aa1798b6,27.25,90.25,8.0,105.0,False
g071763b0e5ab4746,27.25,90.5,3.0,97.0,False
g64d54dd3f88ec895,27.25,90.75,3.0,110.0,False
g2cd48d7bb37874e3,27.25,91.0,3.0,135.0,False
g4a6ae2d3a2a91239,27.25,91.25,7.0,126.0,False
g0181f725860d5bba,27.25,91.5,7.0,99.0,False
g59eff09cfc08c4fa,27.25,91.75,9.0,112.0,False
gfc157a46bd6a861c,27.25,92.0,10.0,115.0,False
g882d886401336aef,27.5,88.5,,,True
ge4a63f184961e4eb,27.5,88.75,,,True
g3097e25a1919091b,27.5,89.0,5.0,,False
g8983ad0cd016864e,27.5,89.25,6.0,93.0,False
g22e164c0a7a2d4e4,27.5,89.5,6.0,73.0,False
