polygon_id,n_cells
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
